,station,net_traffic,pct_total,borough,gtfs_longitude,gtfs_latitude,geometry
285,york_st,58492.0,0.0008769076624566943,Bk,-73.986751,40.701397,POINT (-73.986751 40.701397)
286,kingston_av,58204.0,0.0008725899881287943,Bk,-73.942161,40.669399,POINT (-73.942161 40.669399)
287,182_183_sts,57901.0,0.0008680474349296495,Bx,-73.900741,40.856093,POINT (-73.900741 40.856093)
288,jamaica_van_wk,57681.0,0.0008647492114847258,Q,-73.816859,40.702566,POINT (-73.816859 40.702566)
289,sutter_av,57176.0,0.0008571782894861512,Bk,-73.901975,40.669367,POINT (-73.901975 40.669367)
290,seneca_ave,57056.0,0.0008553792585161928,Q,-73.90774,40.702762,POINT (-73.90774 40.702762)
291,classon_av,56715.0,0.0008502670121765612,Bk,-73.96007,40.688873,POINT (-73.96007 40.688873)
292,eastchster_dyre,56619.0,0.0008488277874005945,Bx,-73.830834,40.8883,POINT (-73.830834 40.8883)
293,st._george,56248.0,0.0008432657833184733,SI,-74.073643,40.643748,POINT (-74.073643 40.643748)
294,bay_50_st,56232.0,0.0008430259125224789,Bk,-73.983765,40.588841,POINT (-73.983765 40.588841)
295,woodlawn,56138.0,0.0008416166715960116,Bx,-73.878751,40.886037,POINT (-73.878751 40.886037)
296,myrtle_willough,54942.0,0.0008236863295954267,Bk,-73.949046,40.694568,POINT (-73.949046 40.694568)
297,neck_rd,53971.0,0.0008091291706635138,Bk,-73.955161,40.595246,POINT (-73.955161 40.595246)
298,shepherd_av,53164.0,0.0007970306873905439,Bk,-73.88075,40.67413,POINT (-73.88075 40.67413)
299,president_st,53102.0,0.0007961011880560655,Bk,-73.950683,40.667883,POINT (-73.950683 40.667883)
300,15_st_prospect,52897.0,0.0007930278434823867,Bk,-73.979493,40.660365,POINT (-73.979493 40.660365)
301,winthrop_st,52756.0,0.0007909139820926856,Bk,-73.9502,40.656652,POINT (-73.9502 40.656652)
302,sutphin_blvd,52471.0,0.0007866412835390345,Q,-73.810708,40.70546,POINT (-73.810708 40.70546)
303,allerton_av,52058.0,0.0007804496186174279,Bx,-73.867352,40.865462,POINT (-73.867352 40.865462)
304,25_av,52002.0,0.0007796100708314474,Bk,-73.986829,40.597704,POINT (-73.986829 40.597704)
305,grand_army_plaz,51307.0,0.0007691906831304386,Bk,-73.971046,40.675235,POINT (-73.971046 40.675235)
306,newark_hw_bmebe,51217.0,0.0007678414099029699,,,,POINT EMPTY
